row,column,experiment_key,treat,treat_conc,gr_dist_mean,gr_dist_median,gr_dist_sd,gr_dist_iqr,fr_dist_mean,fr_dist_median,fr_dist_sd,fr_dist_iqr
3,11,hbec_myc,Inter-TAD,0,0.739944863257233,0.7082981321739785,0.42420876190449713,0.5037852383671457,2.815548678017466,0.5355756033479582,3.127039403924777,5.1650724807554855
3,13,hbec_myc,Intra-TAD,0,0.48991397290896926,0.4606378194855333,0.3254617612516878,0.3315236941585398,2.823814617536353,0.5324787754152088,3.203003672771236,5.018189079563545
5,11,hbec_egfr,Inter-TAD,0,0.49347437634878577,0.4197308454405313,0.5845208212308814,0.2946678348392517,1.176593399664151,0.25920427976985233,2.1813928009291974,0.2670748846807849
5,13,hbec_egfr,Intra-TAD,0,0.45070825890093863,0.3934583381361978,0.5104168133225396,0.27513544304536663,1.099137622148759,0.2586010609945091,2.0849862960311425,0.2601873342040302
7,11,hff_myc,Inter-TAD,0,0.9358445816983113,0.8113750230867285,0.8669180339160232,0.6291743340740176,5.575396497096857,4.664351052647294,5.367906526580123,8.72778717310911
7,13,hff_myc,Intra-TAD,0,0.46876743945143834,0.4130190194436436,0.5236576287844932,0.29823303396684225,5.374906900715421,4.411477159679219,5.225433136133648,8.663120787981153
9,11,hff_egfr,Inter-TAD,0,0.7977560382682762,0.5612043855350499,1.1958778192905402,0.47591923525583224,2.111044346179032,0.2744983932168784,3.8688113973528,0.5789677823368424
9,13,hff_egfr,Intra-TAD,0,0.578202175644323,0.4077914409214395,1.1024158460442322,0.29792298884642787,2.1569834472697464,0.271507678480156,4.060157582380474,0.6002162435865405
